Nr źródła;C [%];Si [%];S [%];P [%];Mg [%];Mn [%];Ni [%];Cu [%];Mo [%];Cr [%];Al [%];Sn [%];B [%];V [%];Wydzielenia grafitu [mm-2];Udział wydzieleń grafitu [%];Średnica sferoidów [μm];Wielkość sferoidów;Nodularity [%];Udział perlitu [%];Udział ferrytu [%];Rm [MPa] (as cast);A5 [%]     (as cast);Minimalna grubość ścianki [mm];Temperatura austenityzacji [˚C];Czas austenityzacji [min.];Temperatura przemiany izotermicznej [˚C];Czas przemiany izotermicznej [min.];Rm [MPa];R0,2 [MPa];A5 [%];Twardość Brinella [HB];Twardość Rockwella [HRC];Twardość Rockwella [HRA];Twardość Rockwella [HRB];Twardość Vickersa [HV];Udarność Charpy [J];Temperatura pomiaru udarności [˚C];Udział austenitu %;Martensite volume fraction Xα';Retained austenite volume fraction XγR 
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;400;120;585;480;;;;;;;;;28,7;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;385;120;701;636;;;;;;;;;37,5;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;371;120;1062;861;10,5;;;;;;;;32;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;357;120;1105;946;9,6;;;;;;;;28,5;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;343;120;1185;989;;;;;;;;;26,2;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;330;120;1277;1081;;;;;;;;;17,5;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;323;120;;;4;;;;;;;;;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;316;120;1326;1154;;;;;;;;;14,5;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;301;120;;;3,4;;;;;;;;14,5;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;288;120;1470;1302;3,1;;;;;;;;14;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;273;120;1522;1373;;;;;;;;;12;;
1;3,4;2,41;0,017;0,015;0,064;0,15;0,001;0;0,001;;;;;;;;;;;80;;;;25,4;927;120;260;120;1528;1410;1,9;;;;;;;;12;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;240;1039;;14,5;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;240;874;637;6,3;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;180;1117;;9,8;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;120;1078;;10;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;120;862;634;5,5;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;90;1000;660;11,4;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;90;905;645;8;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;75;1032;681;8,6;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;60;996;669;8,5;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;60;916;640;9,2;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;45;1099;;9,7;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;45;852;587;7,3;;;;;;;;;;
2;3,5;2,6;0,005;;;0,25;0;0,96;0,21;;;;;;;;;;;100;;649;4;25;900;180;355;30;1063;;5,9;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;30;878;585;7,7;;;;;;;;;;
2;3,42;2,73;0,006;;;0,25;0;0,98;0,2;;;;;;;;;;;100;;;;25;845;180;370;15;905;601;6,8;;;;;;;;;;
3;3,72;2,59;0,007;0,036;0,065;0,25;0,01;0,8;0;;;;;;;;;;;;;;;8;900;60;275;120;1208;935;1,1;384;41,2;;;;;;;;
3;3,72;2,59;0,007;0,036;0,065;0,25;0,01;0,8;0;;;;;;;;;;;;;;;8;900;60;275;120;1299;948;1,3;384;41,2;;;;;;;;
